"id","author_label","date","rating","design_credibility","fidelity","implementation","twfe_impl","csdid_impl","bacon","honestdid_impl","dechaisemartin","paper_auditor","design_signal_honestdid","design_signal_bacon_tvt","n_impl_warn","n_impl_fail","short_summary","legacy_rating","fidelity_verdict","impl_axis"
210,"Li et al. (2026)","2026-04-19","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","WITHIN_TOLERANCE","TWFE_avg_Mbar=0.75 (D-MODERATE); CS-NYT null at Mbar=0 (D-FRAGILE); calibrated Mbar~1.6 (D-FRAGILE dominant)","All-LvE/EvL (all-eventually-treated; run_bacon=false); cohort heterogeneity range -0.23 to +0.26",0,0,"TWFE=0.01854 (2.44% WITHIN_TOLERANCE; PDF confirmed); CS-NYT sign reversal fixed (allow_unbalanced=false); att_nyt_simple=+0.021 matches direction; Spec A Lesson11 collapse (all-eventually-treated+empty-cs_controls); all 11 pre-periods sig (Axis3 design finding); HIGH rating F-HIGH x I-HIGH (upgraded from stale LOW 2026-04-18)","HIGH","WITHIN_TOLERANCE","HIGH"
254,"Gandhi et al. (2024)","2026-04-19","HIGH","D-ROBUST","F-NA","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","NOT_APPLICABLE","Mbar_first=2.0(TWFE)/1.75(CS-NT)(D-ROBUST); Mbar_avg=0.5(TWFE)/1.25(CS-NT)(ramp-up structural; D-MODERATE avg)","N/A (single-timing; Bacon not applicable)",0,0,"Continuous-dose Medicaid paper binarized to high/low split; TWFE=5.491 CS-NT=5.693 (ratio 1.037); clean pre-trends 28 weeks; HonestDiD Mbar_first=2.0/1.75 (D-ROBUST); discretization and aggregation are Axis3 scope notes not Axis2 impl faults; HIGH rating F-NA x I-HIGH (upgraded from stale LOW 2026-04-18)","HIGH","NOT_APPLICABLE","HIGH"
337,"Cameron, Seager, Shah (2021)","46131","HIGH","D-MODERATE","F-HIGH","I-HIGH","PASS","PASS","SKIPPED","SKIPPED","NOT_NEEDED","EXACT","N/A (0 pre-periods; 2-period design)","N/A (single timing)",0,0,"TWFE=0.2726 EXACT (0.16%); CS-NT=0.211 directionally consistent; SE-inflation 13.7x is Axis-3 few-cluster design finding (K=6), not impl error; Bacon/HonestDiD N/A; HIGH F-HIGH x I-HIGH","HIGH","EXACT","HIGH"
304,"Arthi, Beach & Hanlon (2022)","20562","HIGH","D-NA","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","NOT_APPLICABLE","NOT_NEEDED","NOT_APPLICABLE","N/A (T=2; 0 pre-periods — HonestDiD structurally infeasible)","N/A (single-cohort; 100% TvU by construction; Bacon N/A)",0,0,"Classic 2x2 DiD; TWFE=2.1935 exact match (<0.001%); CS-NT=2.2418 (2.2% gap); single cohort eliminates negative-weight/staggered-timing concerns; parallel trends untestable (0 pre-periods; D-NA); documented Rule iii(b) deviation (col1 no-controls vs col3 author-preferred); HIGH F-NA x I-HIGH (use impl alone)","HIGH","EXACT","HIGH"
333,"Clarke, Muhlrad (2021)","2026-04-19","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","EXACT (metadata 0.66%; PDF path issue in cached run)","Mbar_first_twfe=0 (D-FRAGILE); Mbar_avg_twfe=0.25 (D-FRAGILE); Mbar_avg_cs=0.50 (D-FRAGILE); Mbar_peak=0.50 both estimators","N/A (single-cohort; 100% TvU by construction)",0,0,"TWFE=-0.0636 EXACT (0.66%); CS-NT=-0.058 directional (9% single-cohort baseline convention); pre-trend violation t=-29/t=-31/t=-19 large positive (D-FRAGILE design finding); HonestDiD avg breaks Mbar=0.25 TWFE / Mbar=0.5 CS-NT (D-FRAGILE); all impl reviewers PASS; HIGH rating F-HIGH x I-HIGH under 3-axis rubric (upgraded from MODERATE 2026-04-18 which counted design findings as Axis-2 WARNs)","HIGH","EXACT","HIGH"
432,"Gallagher (2014)","2026-04-19","HIGH","D-ROBUST","F-NA","I-HIGH","PASS","PASS","PASS (TvT<30%;TVU_dominant_36pct)","PASS (M_first=2.0 D-ROBUST;M_avg=1.5/1.0;M_peak=0.75/1.0)","NOT_NEEDED","NOT_APPLICABLE (no PDF;no original_result)","rm_first_Mbar=2.0 (D-ROBUST all estimators); rm_avg_Mbar=1.5(TWFE)/1.0(CS-NT); rm_peak_Mbar=0.75(TWFE)/1.0(CS-NT)","TVU_dominant (36% never-treated pool); SA/TWFE gap <3% confirming minimal cohort heterogeneity; TvT well below 30%",0,0,"Flood insurance take-up: TWFE=0.110 (t=6.72); CS-NT=0.122 CS-NYT=0.115 directionally unanimous; 10 clean pre-periods (max|t|=1.3); first-period D-ROBUST Mbar=2.0; avg D-MODERATE (Mbar=1.5 TWFE/1.0 CS-NT); realistic Mbar<=0.50 all targets robustly positive; repeated-events idiosyncrasy documented; all 4 methodology reviewers PASS; HIGH rating F-NA x I-HIGH (3-axis rubric 2026-04-19)","HIGH","NOT_APPLICABLE","HIGH"
1094,"Fisman & Wang (2017)","2026-04-19","MODERATE","D-MODERATE","F-MOD","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","WARN","null confirmed at all Mbar (TWFE first=[−0.157,+0.046]; CS-NT first=[−0.169,+0.019])","TvT-clean~71% (informational; unbalanced panel — formal Bacon NOT_APPLICABLE)",0,0,"TWFE=-0.047 vs paper -0.051 (8.9% gap; documented Stata/R single-obs merge diff; F-MOD); CS-NT null -0.001/-0.028 consistent; HonestDiD confirms null at all Mbar; implementation clean I-HIGH; design D-MODERATE (flat TWFE pre-trends; mild CS-NT t=-3; no significant claim overturned); MODERATE F-MOD x I-HIGH","MODERATE","WARN","HIGH"
525,"Danzer & Zyska (2023)","2026-04-19","MODERATE","D-NA","F-HIGH","I-MOD","PASS (Axis3)","WARN-1 (collinearity label)","NOT_APPLICABLE","NOT_APPLICABLE","NOT_NEEDED","WITHIN_TOLERANCE (metadata; no PDF)","N/A (no event study)","N/A (single-cohort; treatment_timing=single)",1,0,"TWFE=-0.00776 matches paper within 3% (F-HIGH); Spec A collapse collinearity-by-design (TREAT=gvar cohort; not Pattern42 overfit); 81% CS vs TWFE gap is Axis3 covariate-protocol finding; sign reversal Spec B and 26-cluster concern are Axis3 design properties; 1 Axis2 WARN (degenerate att_cs_nt_with_ctrls=0 stored as OK); MODERATE rating upgraded from LOW under 3-axis rubric (F-HIGH x I-MOD)","MODERATE","WITHIN_TOLERANCE","MOD"
420,"Bailey, Goodman-Bacon (2015)","2026-04-19","MODERATE","D-MODERATE","F-NA","I-MOD","WARN","WARN","PASS","PASS","NOT_NEEDED","NOT_APPLICABLE","Mbar_first=0.50 (D-MODERATE); Mbar_avg=0.25; Mbar_peak=0.25","TvT share~84% (clean; < 1% inter-cohort contamination)",1,0,"TWFE=-53.21 consistent with paper grouped estimates (-41 to -72); CS-NT collapse Spec A (-6.78) is Pattern 51 design finding not impl error; Bacon TvT=84% clean; HonestDiD Mbar_first=0.50 D-MODERATE; run_bacon=false metadata flag is only impl WARN; MODERATE via F-NA x I-MOD","MODERATE","NOT_APPLICABLE","MOD"
744,"Jayachandran et al. (2010)","2026-04-19","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","NOT_APPLICABLE","Mbar_first=1.00(TWFE/CS-NT); Mbar_avg=0.75TWFE/0.50CS-NT(D-FRAGILE binding); Mbar_peak=1.00TWFE/0.75CS-NT; monotonic pre-trend drift -0.259@t=-12 amplitude~0.26log-pts","N/A (single-timing; Bacon not applicable; 100% TvU by construction)",0,0,"Sulfa drugs cross-disease DiD (MMR vs TB); TWFE=-0.281 CS-NT=-0.333 direction confirmed; ALL WARNs are Axis3 design findings (sign reversal +13.6 without trend controls; monotonic pre-trend 12yrs; Mbar_avg=0.50 CS-NT); I-HIGH no impl errors; rating upgraded LOW->HIGH under 3-axis rubric (F-NA x I-HIGH)","HIGH","EXACT","HIGH"
419,"Kahn, Li, Zhao (2015)","2026-04-19","HIGH","D-MODERATE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","NOT_APPLICABLE","NOT_NEEDED","NOT_APPLICABLE","N/A (only 1 free pre-period; HonestDiD structurally infeasible)","N/A (single-cohort; Bacon not applicable)",0,0,"TWFE=-2.012 EXACT (metadata; gap<0.001%); CS-NT=-1.411 (no ctrls) / -1.678 (with ctrls); Spec A OK (controls close TWFE-CS gap 29.9%->16.6%); single-cohort no staggered-timing bias; 1 free pre-period prevents HonestDiD; pre-period +1.61/+1.68 Axis3 D-MODERATE; HIGH rating F-NA x I-HIGH (3-axis rubric)","HIGH","EXACT","HIGH"
437,"Hausman (2014)","2026-04-19","HIGH","D-BROKEN","F-HIGH","I-HIGH","PASS","PASS","N/A (allow_unbalanced=true; ran informational)","PASS","NOT_NEEDED","EXACT (0.58%)","rm_first/avg/peak_Mbar=0 (D-BROKEN all targets both estimators); Mbar=0 CIs include zero","TVT_dominant_49.5pct; TVU_cohort_range=-372_to_+301; EvL_range=-352_to_-682",0,0,"TWFE=-42.245 EXACT (0.58%); CS-NT=-1.943 CS-NYT=-3.724 (20x magnitude shrinkage direction-preserved); D-BROKEN HonestDiD (rm_Mbar=0 all targets both estimators); Bacon TVT 49.5% forbidden; 3/9 singleton cohorts; 34-yr secular decline; all ns; rating upgraded LOW->HIGH under 3-axis rubric (all WARNs are Axis 3 design findings); design upgraded D-FRAGILE->D-BROKEN","HIGH","EXACT","HIGH"
433,"DeAngelo, Hansen (2014)","2026-04-19","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","NOT_APPLICABLE (informational WITHIN_TOLERANCE 1.46%)","rm_first_Mbar=0 (D-FRAGILE); rm_avg_Mbar=0 (D-FRAGILE); rm_peak_Mbar=0.25 (D-MODERATE) both TWFE and CS-NT","N/A (single-timing; Bacon not applicable; 100% TvU weight by construction)",0,0,"Oregon police layoff: TWFE=0.6999 within 1.46% of paper 0.7103 (missing VT obs); CS-NT=0.6979 confirms direction (0.28% gap); Spec A Pattern-51 overfit 2.47x is Axis-3 design finding not impl error; 3/5 oscillatory CS-NT pre-periods sig (Axis-3); HonestDiD D-FRAGILE avg/first (Mbar=0), D-MODERATE peak (Mbar=0.25); all impl reviewers PASS; HIGH F-NA x I-HIGH (corrected from legacy LOW which conflated Axis-2/Axis-3)","HIGH","WITHIN_TOLERANCE","HIGH"
